Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB02G000S800,2018.06,32577,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB02G000S800,2018.09,32984,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB02G000S800,2018.12,36115,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB02G000S800,2019.03,33801,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB02G000S800,2019.06,33424,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB02G000S800,2019.09,34865,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB02G000S800,2019.12,38633,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB02G000S800,2020.03,38829,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB02G000S800,2020.06,37126,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB02G000S800,2020.09,39172,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB02G000S800,2020.12,39922,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB02G000S800,2021.03,37277,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB02G000S800,2021.06,38757,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB02G000S800,2021.09,40999,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB02G000S800,2021.12,46729,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB02G000S800,2022.03,40316,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB02G000S800,2022.06,41365,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB02G000S800,2022.09,42468,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB02G000S800,2022.12,46380,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB02G000S800,2023.03,41711,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB02G000S800,2023.06,43368,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB05GNE0S900,2016.06,63768,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB05GNE0S900,2016.09,66959,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB05GNE0S900,2016.12,71331,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB05GNE0S900,2017.03,67075,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB05GNE0S900,2017.06,67610,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB05GNE0S900,2017.09,71433,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB05GNE0S900,2017.12,77074,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB05GNE0S900,2018.03,71793,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB05GNE0S900,2018.06,73359,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB05GNE0S900,2018.09,76692,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB05GNE0S900,2018.12,81217,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB05GNE0S900,2019.03,75105,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB05GNE0S900,2019.06,77161,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB05GNE0S900,2019.09,81365,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB05GNE0S900,2019.12,86053,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB05GNE0S900,2020.03,77886,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB05GNE0S900,2020.06,69417,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB05GNE0S900,2020.09,83189,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB05GNE0S900,2020.12,89148,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB05GNE0S900,2021.03,87403,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB05GNE0S900,2021.06,87076,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB05GNE0S900,2021.09,90318,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB05GNE0S900,2021.12,99510,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB05GNE0S900,2022.03,95353,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB05GNE0S900,2022.06,96592,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB05GNE0S900,2022.09,101857,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB05GNE0S900,2022.12,108739,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB05GNE0S900,2023.03,101547,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB05GNE0S900,2023.06,102349,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B05GNE,Gross national expenditure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB110000S800,2016.06,1685,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB110000S800,2016.09,-2493,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB110000S800,2016.12,-146,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB110000S800,2017.03,3172,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB110000S800,2017.06,2039,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB110000S800,2017.09,-2057,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB110000S800,2017.12,87,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB110000S800,2018.03,2794,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB110000S800,2018.06,1192,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB110000S800,2018.09,-3618,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB110000S800,2018.12,-851,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB110000S800,2019.03,3181,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB110000S800,2019.06,1397,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB110000S800,2019.09,-3782,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB110000S800,2019.12,-676,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB110000S800,2020.03,3825,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB110000S800,2020.06,3195,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB110000S800,2020.09,-2269,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB110000S800,2020.12,-1423,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB110000S800,2021.03,-1224,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB110000S800,2021.06,1087,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB110000S800,2021.09,-6345,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B11,Balance on external goods and services,,,,,National Accounts - SNA 2008 - SNE,2021,9
